NP_463534.1	lmo0001
NP_464523.1	lmo0998
NP_464524.1	lmo0999
NP_464525.1	lmo1000
NP_464526.1	lmo1001
NP_464527.1	lmo1002
NP_464528.1	lmo1003
NP_464529.1	lmo1004
NP_464530.1	lmo1005
NP_464531.1	lmo1006
NP_464532.1	lmo1007
NP_464533.1	lmo1008
NP_464534.1	lmo1009
NP_464535.1	lmo1010
NP_464536.1	lmo1011
NP_464537.1	lmo1012
NP_464538.1	lmo1013
NP_464539.1	lmo1014
NP_464540.1	lmo1015
NP_464541.1	lmo1016
NP_464542.1	lmo1017
NP_464543.1	lmo1018
NP_464544.1	lmo1019
NP_464545.1	lmo1020
NP_464546.1	lmo1021
NP_464547.1	lmo1022
NP_464548.1	lmo1023
NP_464549.1	lmo1024
NP_464550.1	lmo1025
NP_464551.1	lmo1026
NP_464552.1	lmo1027
NP_464553.1	lmo1028
NP_464554.1	lmo1029
NP_464555.1	lmo1030
NP_464556.1	lmo1031
NP_464557.1	lmo1032
NP_464558.1	lmo1033
NP_464559.1	lmo1034
NP_464560.1	lmo1035
NP_464561.1	lmo1036
NP_464562.1	lmo1037
NP_464563.1	lmo1038
NP_464564.1	lmo1039
NP_464565.1	lmo1040
NP_464566.1	lmo1041
NP_464567.1	lmo1042
NP_464568.1	lmo1043
NP_464569.1	lmo1044
NP_464570.1	lmo1045
NP_464571.1	lmo1046
NP_464572.1	lmo1047
NP_464573.1	lmo1048
NP_464574.1	lmo1049
NP_464575.1	lmo1050
NP_464576.1	lmo1051
NP_464577.1	lmo1052
NP_464578.1	lmo1053
NP_464579.1	lmo1054
NP_464580.1	lmo1055
NP_464581.1	lmo1056
NP_464582.1	lmo1057
NP_464583.1	lmo1058
NP_464584.1	lmo1059
NP_464585.1	lmo1060
NP_464586.1	lmo1061
NP_464587.1	lmo1062
NP_464588.1	lmo1063
NP_464589.1	lmo1064
NP_464590.1	lmo1065
NP_464591.1	lmo1066
NP_464592.1	lmo1067
NP_464593.1	lmo1068
NP_464594.1	lmo1069
NP_464595.1	lmo1070
NP_464596.1	lmo1071
NP_464597.1	lmo1072
NP_464598.1	lmo1073
NP_464599.1	lmo1074
NP_464600.1	lmo1075
NP_464601.1	lmo1076
NP_464602.1	lmo1077
NP_464603.1	lmo1078
NP_464604.1	lmo1079
NP_464605.1	lmo1080
NP_464606.1	lmo1081
NP_464607.1	lmo1082
NP_464608.1	lmo1083
NP_464609.1	lmo1084
NP_464610.1	lmo1085
NP_464611.1	lmo1086
NP_464612.1	lmo1087
NP_464613.1	lmo1088
NP_464614.1	lmo1089
NP_464615.1	lmo1090
NP_464616.1	lmo1091
NP_464617.1	lmo1092
NP_464618.1	lmo1093
NP_464619.1	lmo1094
NP_464620.1	lmo1095
NP_464621.1	lmo1096
NP_464622.1	lmo1097
YP_008475635.1	lmo1097a
NP_464623.1	lmo1098
NP_464624.1	lmo1099
NP_464625.1	lmo1100
NP_464626.1	lmo1101
NP_464627.1	lmo1102
NP_464628.1	lmo1103
NP_464629.1	lmo1104
NP_464630.1	lmo1105
NP_464631.1	lmo1106
NP_464632.1	lmo1107
NP_464633.1	lmo1108
NP_464634.1	lmo1109
NP_464635.1	lmo1110
NP_464636.1	lmo1111
NP_464637.1	lmo1112
NP_464638.1	lmo1113
NP_464639.1	lmo1114
NP_464640.1	lmo1115
NP_464641.1	lmo1116
NP_464642.1	lmo1117
NP_464643.1	lmo1118
NP_464644.1	lmo1119
NP_464645.1	lmo1120
NP_464646.1	lmo1121
NP_464647.1	lmo1122
NP_464648.1	lmo1123
NP_464649.1	lmo1124
NP_464650.1	lmo1125
NP_464651.1	lmo1126
NP_464652.1	lmo1127
NP_464653.1	lmo1128
NP_464654.1	lmo1129
NP_464655.1	lmo1130
NP_464656.1	lmo1131
NP_464657.1	lmo1132
NP_464658.1	lmo1133
NP_464659.1	lmo1134
NP_464660.1	lmo1135
NP_464661.1	lmo1136
NP_464662.1	lmo1137
NP_464663.1	lmo1138
NP_464664.1	lmo1139
NP_464665.1	lmo1140
NP_464666.1	lmo1141
NP_464667.1	lmo1142
NP_464668.1	lmo1143
NP_464669.1	lmo1144
NP_464670.1	lmo1145
NP_464671.1	lmo1146
NP_464672.1	lmo1147
NP_464673.1	lmo1148
NP_464674.1	lmo1149
NP_464675.1	lmo1150
NP_464676.1	lmo1151
NP_464677.1	lmo1152
NP_464678.1	lmo1153
NP_464679.1	lmo1154
NP_464680.1	lmo1155
NP_464681.1	lmo1156
NP_464682.1	lmo1157
NP_464683.1	lmo1158
NP_464684.1	lmo1159
NP_464685.1	lmo1160
NP_464686.1	lmo1161
NP_464687.1	lmo1162
NP_464688.1	lmo1163
NP_464689.1	lmo1164
NP_464690.1	lmo1165
NP_464691.1	lmo1166
NP_464692.1	lmo1167
NP_464693.1	lmo1168
NP_464694.1	lmo1169
NP_464695.1	lmo1170
NP_464696.1	lmo1171
NP_464697.1	lmo1172
NP_464698.1	lmo1173
NP_464699.1	lmo1174
NP_464700.1	lmo1175
NP_464701.1	lmo1176
NP_464702.1	lmo1177
NP_464703.1	lmo1178
NP_464704.1	lmo1179
NP_464705.1	lmo1180
NP_464706.1	lmo1181
NP_464707.1	lmo1182
NP_464708.1	lmo1183
NP_464709.1	lmo1184
NP_464710.1	lmo1185
NP_464711.1	lmo1186
NP_464712.1	lmo1187
NP_464713.1	lmo1188
NP_464714.1	lmo1189
NP_464715.1	lmo1190
NP_464716.1	lmo1191
NP_464717.1	lmo1192
NP_464718.1	lmo1193
NP_464719.1	lmo1194
NP_464720.1	lmo1195
NP_464721.1	lmo1196
NP_464722.1	lmo1197
NP_464723.1	lmo1198
NP_464724.1	lmo1199
NP_464725.1	lmo1200
NP_464726.1	lmo1201
NP_464727.1	lmo1202
NP_464728.1	lmo1203
NP_464729.2	lmo1204
NP_464730.1	lmo1205
NP_464731.1	lmo1206
NP_464732.1	lmo1207
NP_464733.1	lmo1208
NP_464734.1	lmo1209
NP_464735.1	lmo1210
NP_464736.1	lmo1211
NP_464737.1	lmo1212
NP_464738.1	lmo1213
NP_464739.1	lmo1214
NP_464740.1	lmo1215
NP_464741.1	lmo1216
NP_464742.1	lmo1217
NP_464743.1	lmo1218
NP_464744.1	lmo1219
NP_464745.1	lmo1220
NP_464746.1	lmo1221
NP_464747.1	lmo1222
NP_464748.1	lmo1223
NP_464749.1	lmo1224
NP_464750.1	lmo1225
NP_464751.1	lmo1226
NP_464752.1	lmo1227
NP_464753.1	lmo1228
NP_464754.1	lmo1229
NP_464755.1	lmo1230
NP_464756.1	lmo1231
NP_464757.1	lmo1232
NP_464758.1	lmo1233
NP_464759.1	lmo1234
NP_464760.1	lmo1235
NP_464761.1	lmo1236
NP_464762.1	lmo1237
NP_464763.1	lmo1238
NP_464764.1	lmo1239
NP_464765.1	lmo1240
NP_464766.1	lmo1241
NP_464767.1	lmo1242
NP_464768.1	lmo1243
NP_464769.1	lmo1244
NP_464770.1	lmo1245
NP_464771.1	lmo1246
NP_464772.1	lmo1247
NP_464773.1	lmo1248
NP_464774.1	lmo1249
NP_464775.1	lmo1250
NP_464776.1	lmo1251
NP_464777.1	lmo1252
NP_464778.1	lmo1253
NP_464779.1	lmo1254
NP_464780.1	lmo1255
NP_464781.1	lmo1256
NP_464782.1	lmo1257
NP_464783.1	lmo1258
NP_464784.1	lmo1259
NP_464785.1	lmo1260
NP_464786.1	lmo1261
NP_464787.1	lmo1262
NP_464788.1	lmo1263
NP_464789.1	lmo1264
NP_464790.1	lmo1265
NP_464791.1	lmo1266
NP_464792.1	lmo1267
NP_464793.1	lmo1268
NP_464794.1	lmo1269
NP_464795.1	lmo1270
NP_464796.1	lmo1271
NP_464797.1	lmo1272
NP_464798.1	lmo1273
NP_464799.1	lmo1274
NP_464800.1	lmo1275
NP_464801.1	lmo1276
NP_464802.1	lmo1277
NP_464803.1	lmo1278
NP_464804.1	lmo1279
NP_464805.1	lmo1280
NP_464806.1	lmo1281
NP_464807.1	lmo1282
NP_464808.1	lmo1283
NP_464809.1	lmo1284
NP_464810.1	lmo1285
NP_464811.1	lmo1286
NP_464812.1	lmo1287
NP_464813.1	lmo1288
NP_464814.1	lmo1289
NP_464815.1	lmo1290
NP_464816.1	lmo1291
NP_464817.1	lmo1292
NP_464818.1	lmo1293
NP_464819.1	lmo1294
NP_464820.1	lmo1295
NP_464821.1	lmo1296
NP_464822.1	lmo1297
NP_464823.1	lmo1298
NP_464824.1	lmo1299
NP_464825.1	lmo1300
NP_464826.1	lmo1301
NP_464827.1	lmo1302
NP_464828.1	lmo1303
NP_464829.1	lmo1304
NP_464830.1	lmo1305
NP_464831.1	lmo1306
NP_464832.1	lmo1307
NP_464833.1	lmo1308
NP_464834.1	lmo1309
NP_464835.1	lmo1310
NP_464836.1	lmo1311
NP_464837.1	lmo1312
NP_464838.1	lmo1313
NP_464839.1	lmo1314
NP_464840.1	lmo1315
NP_464841.1	lmo1316
NP_464842.1	lmo1317
NP_464843.1	lmo1318
NP_464844.1	lmo1319
NP_464845.1	lmo1320
NP_464846.1	lmo1321
NP_464847.1	lmo1322
NP_464848.1	lmo1323
NP_464849.1	lmo1324
NP_464850.1	lmo1325
NP_464851.1	lmo1326
NP_464852.1	lmo1327
NP_464853.1	lmo1328
NP_464854.1	lmo1329
NP_464855.1	lmo1330
NP_464856.1	lmo1331
NP_464857.1	lmo1332
NP_464858.1	lmo1333
YP_008475636.1	lmo1333a
NP_464859.1	lmo1334
NP_464860.1	lmo1335
NP_464861.1	lmo1336
NP_464862.1	lmo1337
NP_464863.1	lmo1338
NP_464864.1	lmo1339
NP_464865.1	lmo1340
NP_464866.1	lmo1341
NP_464867.1	lmo1342
NP_464868.1	lmo1343
NP_464869.1	lmo1344
NP_464870.1	lmo1345
NP_464871.1	lmo1346
NP_464872.1	lmo1347
NP_464873.1	lmo1348
NP_464874.1	lmo1349
NP_464875.1	lmo1350
NP_464876.1	lmo1351
NP_464877.1	lmo1352
NP_464878.1	lmo1353
NP_464879.1	lmo1354
NP_464880.1	lmo1355
NP_464881.1	lmo1356
NP_464882.1	lmo1357
NP_464883.1	lmo1358
NP_464884.1	lmo1359
NP_464885.1	lmo1360
NP_464886.1	lmo1361
NP_464887.1	lmo1362
NP_464888.1	lmo1363
NP_464889.1	lmo1364
NP_464890.1	lmo1365
NP_464891.1	lmo1366
NP_464892.1	lmo1367
NP_464893.1	lmo1368
NP_464894.1	lmo1369
NP_464895.1	lmo1370
NP_464896.1	lmo1371
NP_464897.1	lmo1372
NP_464898.1	lmo1373
NP_464899.1	lmo1374
NP_464900.1	lmo1375
NP_464901.1	lmo1376
NP_464902.1	lmo1377
NP_464903.1	lmo1378
NP_464904.1	lmo1379
NP_464905.1	lmo1380
NP_464906.1	lmo1381
NP_464907.1	lmo1382
NP_464908.1	lmo1383
NP_464909.1	lmo1384
NP_464910.1	lmo1385
NP_464911.1	lmo1386
NP_464912.1	lmo1387
NP_464913.1	lmo1388
NP_464914.1	lmo1389
NP_464915.1	lmo1390
NP_464916.1	lmo1391
NP_464917.1	lmo1392
NP_464918.1	lmo1393
NP_464919.1	lmo1394
NP_464920.1	lmo1395
NP_464921.1	lmo1396
NP_464922.1	lmo1397
NP_464923.1	lmo1398
NP_464924.1	lmo1399
NP_464925.1	lmo1400
NP_464926.1	lmo1401
NP_464927.1	lmo1402
NP_464928.1	lmo1403
NP_464929.1	lmo1404
NP_464930.1	lmo1405
NP_464931.1	lmo1406
NP_464932.1	lmo1407
NP_464933.1	lmo1408
NP_464934.1	lmo1409
NP_464935.1	lmo1410
NP_464936.1	lmo1411
NP_464937.1	lmo1412
NP_464938.1	lmo1413
NP_464939.1	lmo1414
NP_464940.1	lmo1415
NP_464941.1	lmo1416
NP_464942.1	lmo1417
NP_464943.1	lmo1418
NP_464944.1	lmo1419
NP_464945.1	lmo1420
NP_464946.1	lmo1421
NP_464947.1	lmo1422
NP_464948.1	lmo1423
NP_464949.1	lmo1424
NP_464950.1	lmo1425
NP_464951.1	lmo1426
NP_464952.1	lmo1427
NP_464953.1	lmo1428
NP_464954.1	lmo1429
NP_464955.1	lmo1430
NP_464956.1	lmo1431
NP_464957.1	lmo1432
NP_464958.1	lmo1433
NP_464959.1	lmo1434
NP_464960.1	lmo1435
NP_464961.1	lmo1436
NP_464962.1	lmo1437
NP_464963.1	lmo1438
NP_464964.1	lmo1439
NP_464965.1	lmo1440
NP_464966.1	lmo1441
NP_464967.1	lmo1442
NP_464968.1	lmo1443
NP_464969.1	lmo1444
NP_464970.1	lmo1445
NP_464971.1	lmo1446
NP_464972.1	lmo1447
NP_464973.1	lmo1448
NP_464974.1	lmo1449
NP_464975.1	lmo1450
NP_464976.1	lmo1451
NP_464977.1	lmo1452
NP_464978.1	lmo1453
NP_464979.1	lmo1454
NP_464980.1	lmo1455
NP_464981.1	lmo1456
NP_464982.1	lmo1457
NP_464983.1	lmo1458
NP_464984.1	lmo1459
NP_464985.1	lmo1460
NP_464986.1	lmo1461
NP_464987.1	lmo1462
NP_464988.1	lmo1463
NP_464989.1	lmo1464
NP_464990.1	lmo1465
NP_464991.1	lmo1466
NP_464992.1	lmo1467
NP_464993.1	lmo1468
NP_464994.1	lmo1469
NP_464995.1	lmo1470
NP_464996.1	lmo1471
NP_464997.1	lmo1472
NP_464998.1	lmo1473
NP_464999.1	lmo1474
NP_465000.1	lmo1475
NP_465001.1	lmo1476
NP_465002.1	lmo1477
NP_465003.1	lmo1478
NP_465004.1	lmo1479
NP_465005.1	lmo1480
NP_465006.1	lmo1481
NP_465007.1	lmo1482
NP_465008.1	lmo1483
NP_465009.1	lmo1484
NP_465010.1	lmo1485
NP_465011.1	lmo1486
NP_465012.1	lmo1487
NP_465013.1	lmo1488
NP_465014.1	lmo1489
NP_465015.1	lmo1490
NP_465016.1	lmo1491
NP_465017.1	lmo1492
NP_465018.1	lmo1493
NP_465019.1	lmo1494
NP_465020.1	lmo1495
NP_465021.1	lmo1496
NP_465022.1	lmo1497
NP_465023.1	lmo1498
NP_465024.1	lmo1499
NP_465025.1	lmo1500
NP_465026.1	lmo1501
NP_465027.1	lmo1502
NP_465028.1	lmo1503
NP_465029.1	lmo1504
NP_465030.1	lmo1505
NP_465031.1	lmo1506
NP_465032.1	lmo1507
NP_465033.1	lmo1508
NP_465034.1	lmo1509
NP_465035.1	lmo1510
NP_465036.1	lmo1511
NP_465037.1	lmo1512
NP_465038.1	lmo1513
NP_465039.1	lmo1514
NP_465040.1	lmo1515
NP_465041.1	lmo1516
NP_465042.1	lmo1517
NP_465043.1	lmo1518
NP_465044.1	lmo1519
NP_465045.1	lmo1520
NP_465046.1	lmo1521
NP_465047.1	lmo1522
NP_465048.1	lmo1523
NP_465049.1	lmo1524
NP_465050.1	lmo1525
NP_465051.1	lmo1526
NP_465052.1	lmo1527
NP_465053.1	lmo1528
NP_465054.1	lmo1529
NP_465055.1	lmo1530
NP_465056.1	lmo1531
NP_465057.1	lmo1532
NP_465058.1	lmo1533
NP_465059.1	lmo1534
NP_465060.1	lmo1535
NP_465061.1	lmo1536
NP_465062.1	lmo1537
NP_465063.1	lmo1538
NP_465064.1	lmo1539
NP_465065.1	lmo1540
NP_465066.1	lmo1541
NP_465067.1	lmo1542
NP_465068.1	lmo1543
NP_465069.1	lmo1544
NP_465070.1	lmo1545
NP_465071.1	lmo1546
NP_465072.1	lmo1547
NP_465073.1	lmo1548
NP_465074.1	lmo1549
NP_465075.1	lmo1550
NP_465076.1	lmo1551
NP_465077.1	lmo1552
NP_465078.1	lmo1553
NP_465079.1	lmo1554
NP_465080.1	lmo1555
NP_465081.1	lmo1556
NP_465082.1	lmo1557
NP_465083.1	lmo1558
NP_465084.1	lmo1559
NP_465085.1	lmo1560
NP_465086.1	lmo1561
NP_465087.1	lmo1562
NP_465088.1	lmo1563
NP_465089.1	lmo1564
NP_465090.1	lmo1565
NP_465091.1	lmo1566
NP_465092.1	lmo1567
NP_465093.1	lmo1568
NP_465094.1	lmo1569
NP_465095.1	lmo1570
NP_465096.1	lmo1571
NP_465097.1	lmo1572
NP_465098.1	lmo1573
NP_465099.1	lmo1574
NP_465100.1	lmo1575
NP_465101.1	lmo1576
NP_465102.1	lmo1577
NP_465103.1	lmo1578
NP_465104.1	lmo1579
NP_465105.1	lmo1580
NP_465106.1	lmo1581
NP_465107.1	lmo1582
NP_465108.1	lmo1583
NP_465109.1	lmo1584
NP_465110.1	lmo1585
NP_465111.1	lmo1586
NP_465112.1	lmo1587
NP_465113.1	lmo1588
NP_465114.1	lmo1589
NP_465115.1	lmo1590
NP_465116.1	lmo1591
NP_465117.1	lmo1592
NP_465118.1	lmo1593
NP_465119.1	lmo1594
NP_465120.1	lmo1595
NP_465121.1	lmo1596
YP_008475637.1	lmo1596a
NP_465122.1	lmo1597
NP_465123.1	lmo1598
NP_465124.1	lmo1599
NP_465125.1	lmo1600
NP_465126.1	lmo1601
NP_465127.1	lmo1602
NP_465128.1	lmo1603
NP_465129.1	lmo1604
NP_465130.1	lmo1605
NP_465131.1	lmo1606
NP_465132.1	lmo1607
NP_465133.1	lmo1608
NP_465134.1	lmo1609
NP_465135.1	lmo1610
NP_465136.1	lmo1611
NP_465137.1	lmo1612
NP_465138.1	lmo1613
NP_465139.1	lmo1614
NP_465140.1	lmo1615
NP_465141.1	lmo1616
NP_465142.1	lmo1617
NP_465143.1	lmo1618
NP_465144.1	lmo1619
NP_465145.1	lmo1620
NP_465146.1	lmo1621
NP_465147.1	lmo1622
NP_465148.1	lmo1623
NP_465149.1	lmo1624
NP_465150.1	lmo1625
NP_465151.1	lmo1626
NP_465152.1	lmo1627
NP_465153.1	lmo1628
NP_465154.1	lmo1629
NP_465155.1	lmo1630
NP_465156.1	lmo1631
NP_465157.1	lmo1632
NP_465158.1	lmo1633
NP_465159.1	lmo1634
NP_465160.1	lmo1635
NP_465161.1	lmo1636
NP_465162.1	lmo1637
NP_465163.1	lmo1638
NP_465164.1	lmo1639
NP_465165.1	lmo1640
NP_465166.1	lmo1641
NP_465167.1	lmo1642
NP_465168.1	lmo1643
NP_465169.1	lmo1644
NP_465170.1	lmo1645
NP_465171.1	lmo1646
NP_465172.1	lmo1647
NP_465173.1	lmo1648
NP_465174.1	lmo1649
NP_465175.1	lmo1650
NP_465176.1	lmo1651
NP_465177.1	lmo1652
NP_465178.1	lmo1653
NP_465179.1	lmo1654
NP_465180.1	lmo1655
NP_465181.1	lmo1656
NP_465182.1	lmo1657
NP_465183.1	lmo1658
NP_465184.1	lmo1659
NP_465185.1	lmo1660
NP_465186.1	lmo1661
NP_465187.1	lmo1662
NP_465188.1	lmo1663
NP_465189.1	lmo1664
NP_465190.1	lmo1665
NP_465191.1	lmo1666
NP_465192.1	lmo1667
NP_465193.1	lmo1668
NP_465194.1	lmo1669
NP_465195.1	lmo1670
NP_465196.1	lmo1671
NP_465197.1	lmo1672
NP_465198.1	lmo1673
NP_465199.1	lmo1674
NP_465200.1	lmo1675
NP_465201.1	lmo1676
NP_465202.1	lmo1677
NP_465203.1	lmo1678
NP_465204.1	lmo1679
NP_465205.1	lmo1680
NP_465206.1	lmo1681
NP_465207.1	lmo1682
NP_465208.1	lmo1683
NP_465209.1	lmo1684
NP_465210.1	lmo1685
NP_465211.1	lmo1686
NP_465212.1	lmo1687
NP_465213.1	lmo1688
NP_465214.1	lmo1689
NP_465215.1	lmo1690
NP_465216.1	lmo1691
NP_465217.1	lmo1692
NP_465218.1	lmo1693
NP_465219.1	lmo1694
NP_465220.1	lmo1695
NP_465221.1	lmo1696
NP_465222.1	lmo1697
NP_465223.1	lmo1698
NP_465224.1	lmo1699
NP_465225.1	lmo1700
NP_465226.1	lmo1701
NP_465227.1	lmo1702
NP_465228.1	lmo1703
NP_465229.1	lmo1704
NP_465230.1	lmo1705
NP_465231.1	lmo1706
NP_465232.1	lmo1707
NP_465233.1	lmo1708
NP_465234.1	lmo1709
NP_465235.1	lmo1710
NP_465236.1	lmo1711
NP_465237.1	lmo1712
NP_465238.1	lmo1713
NP_465239.1	lmo1714
NP_465240.1	lmo1715
NP_465241.1	lmo1716
NP_465242.1	lmo1717
NP_465243.1	lmo1718
NP_465244.1	lmo1719
NP_465245.1	lmo1720
NP_465246.1	lmo1721
NP_465247.1	lmo1722
NP_465248.1	lmo1723
NP_465249.1	lmo1724
NP_465250.1	lmo1725
NP_465251.1	lmo1726
NP_465252.1	lmo1727
NP_465253.1	lmo1728
NP_465254.1	lmo1729
NP_465255.1	lmo1730
NP_465256.1	lmo1731
NP_465257.1	lmo1732
NP_465258.1	lmo1733
NP_465259.1	lmo1734
NP_465260.1	lmo1735
NP_465261.1	lmo1736
NP_465262.1	lmo1737
NP_465263.1	lmo1738
NP_465264.1	lmo1739
NP_465265.1	lmo1740
NP_465266.1	lmo1741
NP_465267.1	lmo1742
NP_465268.1	lmo1743
NP_465269.1	lmo1744
NP_465270.1	lmo1745
NP_465271.1	lmo1746
NP_465272.1	lmo1747
NP_465273.1	lmo1748
NP_465274.1	lmo1749
NP_465275.1	lmo1750
NP_465276.1	lmo1751
NP_465277.1	lmo1752
NP_465278.1	lmo1753
NP_465279.1	lmo1754
NP_465280.1	lmo1755
NP_465281.1	lmo1756
NP_465282.1	lmo1757
NP_465283.1	lmo1758
NP_465284.1	lmo1759
NP_465285.1	lmo1760
NP_465286.1	lmo1761
NP_465287.1	lmo1762
NP_465288.1	lmo1763
NP_465289.1	lmo1764
NP_465290.1	lmo1765
NP_465291.1	lmo1766
NP_465292.1	lmo1767
NP_465293.1	lmo1768
NP_465294.1	lmo1769
NP_465295.1	lmo1770
NP_465296.1	lmo1771
NP_465297.1	lmo1772
NP_465298.1	lmo1773
NP_465299.1	lmo1774
NP_465300.1	lmo1775
NP_465301.1	lmo1776
NP_465302.1	lmo1777
NP_465303.1	lmo1778
NP_465304.1	lmo1779
NP_465305.1	lmo1780
NP_465306.1	lmo1781
NP_465307.1	lmo1782
NP_465308.1	lmo1783
NP_465309.1	lmo1784
NP_465310.1	lmo1785
NP_465311.1	lmo1786
NP_465312.1	lmo1787
NP_465313.1	lmo1788
NP_465314.1	lmo1789
NP_465315.1	lmo1790
NP_465316.1	lmo1791
NP_465317.1	lmo1792
NP_465318.1	lmo1793
NP_465319.1	lmo1794
NP_465320.1	lmo1795
NP_465321.1	lmo1796
NP_465322.1	lmo1797
NP_465323.1	lmo1798
NP_465324.1	lmo1799
NP_465325.1	lmo1800
NP_465326.1	lmo1801
NP_465327.1	lmo1802
NP_465328.1	lmo1803
NP_465329.1	lmo1804
NP_465330.1	lmo1805
NP_465331.1	lmo1806
NP_465332.1	lmo1807
NP_465333.1	lmo1808
NP_465334.1	lmo1809
NP_465335.1	lmo1810
NP_465336.1	lmo1811
NP_465337.1	lmo1812
NP_465338.1	lmo1813
NP_465339.1	lmo1814
NP_465340.1	lmo1815
NP_465341.1	lmo1816
NP_465342.1	lmo1817
NP_465343.1	lmo1818
NP_465344.1	lmo1819
NP_465345.1	lmo1820
NP_465346.1	lmo1821
NP_465347.1	lmo1822
NP_465348.1	lmo1823
NP_465349.1	lmo1824
NP_465350.1	lmo1825
NP_465351.1	lmo1826
NP_465352.1	lmo1827
NP_465353.1	lmo1828
NP_465354.1	lmo1829
NP_465355.1	lmo1830
NP_465356.1	lmo1831
NP_465357.1	lmo1832
NP_465358.1	lmo1833
NP_465359.1	lmo1834
NP_465360.1	lmo1835
NP_465361.1	lmo1836
NP_465362.1	lmo1837
NP_465363.1	lmo1838
NP_465364.1	lmo1839
NP_465365.1	lmo1840
NP_465366.1	lmo1841
NP_465367.1	lmo1842
NP_465368.1	lmo1843
NP_465369.1	lmo1844
NP_465370.1	lmo1845
NP_465371.1	lmo1846
NP_465372.1	lmo1847
NP_465373.1	lmo1848
NP_465374.1	lmo1849
NP_465375.1	lmo1850
NP_465376.1	lmo1851
NP_465377.1	lmo1852
NP_465378.1	lmo1853
NP_465379.1	lmo1854
NP_465380.1	lmo1855
NP_465381.1	lmo1856
NP_465382.1	lmo1857
NP_465383.1	lmo1858
NP_465384.1	lmo1859
NP_465385.1	lmo1860
NP_465386.1	lmo1861
NP_465387.1	lmo1862
NP_465388.1	lmo1863
NP_465389.1	lmo1864
NP_465390.1	lmo1865
NP_465391.1	lmo1866
NP_465392.1	lmo1867
NP_465393.1	lmo1868
NP_465394.1	lmo1869
NP_465395.1	lmo1870
NP_465396.1	lmo1871
NP_465397.1	lmo1872
NP_465398.1	lmo1873
NP_465399.1	lmo1874
NP_465400.1	lmo1875
NP_465401.1	lmo1877
NP_465402.1	lmo1878
NP_465403.1	lmo1879
NP_465404.1	lmo1880
NP_465405.1	lmo1881
NP_465406.1	lmo1882
NP_465407.1	lmo1883
NP_465408.1	lmo1884
NP_465409.1	lmo1885
NP_465410.1	lmo1886
NP_465411.1	lmo1887
NP_465412.1	lmo1888
NP_465413.1	lmo1889
NP_465414.1	lmo1890
NP_465415.1	lmo1891
NP_465416.1	lmo1892
NP_465417.1	lmo1893
NP_465418.1	lmo1894
NP_465419.1	lmo1895
NP_465420.1	lmo1896
NP_465421.1	lmo1897
NP_465422.1	lmo1898
NP_465423.1	lmo1899
NP_465424.1	lmo1900
NP_465425.1	lmo1901
NP_465426.1	lmo1902
NP_465427.1	lmo1903
NP_465428.1	lmo1904
NP_465429.1	lmo1905
NP_465430.1	lmo1906
NP_465431.1	lmo1907
NP_465432.1	lmo1908
NP_465433.1	lmo1909
NP_465434.1	lmo1910
NP_465435.1	lmo1911
NP_465436.1	lmo1912
NP_465437.1	lmo1913
NP_465438.1	lmo1914
NP_465439.1	lmo1915
NP_465440.1	lmo1916
NP_465441.1	lmo1917
NP_465442.1	lmo1918
NP_465443.1	lmo1919
NP_465444.1	lmo1920
NP_465445.1	lmo1921
NP_465446.1	lmo1922
NP_465447.1	lmo1923
NP_465448.1	lmo1924
NP_465449.1	lmo1925
NP_465450.1	lmo1926
NP_465451.1	lmo1927
NP_465452.1	lmo1928
NP_465453.1	lmo1929
NP_465454.1	lmo1930
NP_465455.1	lmo1931
NP_465456.1	lmo1932
NP_465457.1	lmo1933
NP_465458.1	lmo1934
NP_465459.1	lmo1935
NP_465460.1	lmo1936
NP_465461.1	lmo1937
NP_465462.1	lmo1938
NP_465463.1	lmo1939
NP_465464.1	lmo1940
NP_465465.1	lmo1941
NP_465466.1	lmo1942
NP_465467.1	lmo1943
NP_465468.1	lmo1944
NP_465469.1	lmo1945
NP_465470.1	lmo1946
NP_465471.1	lmo1947
NP_465472.1	lmo1948
NP_465473.1	lmo1949
NP_465474.1	lmo1950
NP_465475.1	lmo1951
NP_465476.1	lmo1952
NP_465477.1	lmo1953
NP_465478.1	lmo1954
NP_465479.1	lmo1955
NP_465480.1	lmo1956
NP_465481.1	lmo1957
NP_465482.1	lmo1958
NP_465483.1	lmo1959
NP_465484.1	lmo1960
NP_465485.1	lmo1961
NP_465486.1	lmo1962
NP_465487.1	lmo1963
NP_465488.1	lmo1964
NP_465489.1	lmo1965
NP_465490.1	lmo1966
NP_465491.1	lmo1967
NP_465492.1	lmo1968
NP_465493.1	lmo1969
NP_465494.1	lmo1970
NP_465495.1	lmo1971
NP_465496.1	lmo1972
NP_465497.1	lmo1973
NP_465498.1	lmo1974
NP_465499.1	lmo1975
NP_465500.1	lmo1976
NP_465501.1	lmo1977
NP_465502.1	lmo1978
NP_465503.1	lmo1979
NP_465504.1	lmo1980
NP_465505.1	lmo1981
NP_465506.1	lmo1982
NP_465507.1	lmo1983
NP_465508.1	lmo1984
NP_465509.1	lmo1985
NP_465510.1	lmo1986
NP_465511.1	lmo1987
NP_465512.1	lmo1988
NP_465513.1	lmo1989
NP_465514.1	lmo1990
NP_465515.1	lmo1991
NP_465516.1	lmo1992
NP_465517.1	lmo1993
