WP_003727573.1	LMON_RS00005
WP_014600632.1	LMON_RS03955
WP_014600633.1	LMON_RS03960
WP_003723804.1	LMON_RS03965
WP_014600634.1	LMON_RS03970
WP_014600635.1	LMON_RS03975
WP_003726296.1	LMON_RS03980
WP_010989573.1	LMON_RS03985
WP_003727155.1	LMON_RS03990
WP_003724156.1	LMON_RS03995
WP_003724157.1	LMON_RS04000
WP_003732937.1	LMON_RS04005
WP_003732938.1	LMON_RS14730
WP_003723977.1	LMON_RS04010
WP_003723978.1	LMON_RS04015
WP_014600636.1	LMON_RS04020
WP_014600637.1	LMON_RS04025
WP_014600638.1	LMON_RS04030
WP_014600639.1	LMON_RS04035
WP_003732943.1	LMON_RS04040
WP_003733776.1	LMON_RS04045
WP_072215848.1	LMON_RS04050
WP_003721372.1	LMON_RS04055
WP_003721373.1	LMON_RS04060
WP_003721374.1	LMON_RS04065
WP_014600640.1	LMON_RS04070
WP_003730082.1	LMON_RS04075
WP_014600641.1	LMON_RS04080
WP_014930846.1	LMON_RS04085
WP_014600643.1	LMON_RS04090
WP_014600644.1	LMON_RS04095
WP_014600645.1	LMON_RS04100
WP_014600646.1	LMON_RS04105
WP_003732952.1	LMON_RS04110
WP_014600647.1	LMON_RS04115
WP_003732954.1	LMON_RS04120
WP_003721389.1	LMON_RS04125
WP_072215864.1	LMON_RS14735
WP_009924976.1	LMON_RS04130
WP_014600648.1	LMON_RS04135
WP_003721392.1	LMON_RS04140
WP_014600649.1	LMON_RS04145
WP_014600650.1	LMON_RS04150
WP_014930847.1	LMON_RS04155
WP_003721396.1	LMON_RS04160
WP_003721397.1	LMON_RS04165
WP_014600652.1	LMON_RS04170
WP_077346021.1	LMON_RS04175
WP_014930849.1	LMON_RS04180
WP_003721401.1	LMON_RS04185
WP_072219357.1	LMON_RS04190
WP_003721403.1	LMON_RS04195
WP_009932658.1	LMON_RS04200
WP_003721405.1	LMON_RS04205
WP_014600655.1	LMON_RS04210
WP_014600656.1	LMON_RS04215
WP_003721408.1	LMON_RS04220
WP_009925584.1	LMON_RS04225
WP_009930625.1	LMON_RS04230
WP_003721411.1	LMON_RS04235
WP_009917534.1	LMON_RS04240
WP_003724779.1	LMON_RS04245
WP_010989594.1	LMON_RS04250
WP_008947247.1	LMON_RS04255
WP_003721417.1	LMON_RS04265
WP_003736027.1	LMON_RS04270
WP_003724784.1	LMON_RS04275
WP_003732364.1	LMON_RS04280
WP_031664984.1	LMON_RS04285
WP_003721422.1	LMON_RS04290
WP_003721423.1	LMON_RS04295
WP_003732367.1	LMON_RS04300
WP_003724790.1	LMON_RS04305
WP_003721426.1	LMON_RS04310
WP_014600658.1	LMON_RS04315
WP_014600659.1	LMON_RS04320
WP_014600660.1	LMON_RS04325
WP_014600661.1	LMON_RS04330
WP_003732374.1	LMON_RS04335
WP_003732375.1	LMON_RS14745
WP_003721433.1	LMON_RS04340
WP_009926385.1	LMON_RS04345
WP_014600662.1	LMON_RS04350
WP_003721436.1	LMON_RS04355
WP_003721437.1	LMON_RS04360
WP_014600663.1	LMON_RS04365
WP_014600664.1	LMON_RS04370
WP_003721440.1	LMON_RS04375
WP_003721441.1	LMON_RS04380
WP_003721442.1	LMON_RS04385
WP_014600665.1	LMON_RS04390
WP_003721445.1	LMON_RS04395
WP_010989603.1	LMON_RS04400
WP_009931324.1	LMON_RS04410
WP_014600667.1	LMON_RS04415
WP_003721450.1	LMON_RS04420
WP_014600668.1	LMON_RS04425
WP_003721452.1	LMON_RS04430
WP_014600669.1	LMON_RS04435
WP_003721454.1	LMON_RS04440
WP_003743775.1	LMON_RS04445
WP_003721456.1	LMON_RS04450
WP_003721457.1	LMON_RS04455
WP_003738506.1	LMON_RS04460
WP_003732386.1	LMON_RS04465
WP_003721460.1	LMON_RS04470
WP_003721461.1	LMON_RS04475
WP_003721462.1	LMON_RS04480
WP_003721463.1	LMON_RS04485
WP_003732387.1	LMON_RS04490
WP_010989610.1	LMON_RS04495
WP_003721466.1	LMON_RS04500
WP_009926861.1	LMON_RS04515
WP_014600670.1	LMON_RS04520
WP_003721468.1	LMON_RS04525
WP_012951401.1	LMON_RS04530
WP_003724829.1	LMON_RS04535
WP_014600671.1	LMON_RS04550
WP_003721472.1	LMON_RS04555
WP_014600672.1	LMON_RS04560
WP_012581654.1	LMON_RS04565
WP_003732396.1	LMON_RS04570
WP_014600674.1	LMON_RS04575
WP_003721477.1	LMON_RS04580
WP_014600675.1	LMON_RS04585
WP_014600676.1	LMON_RS04590
WP_003721480.1	LMON_RS04595
WP_014930858.1	LMON_RS04600
WP_003721482.1	LMON_RS04605
WP_003721483.1	LMON_RS04610
WP_014600678.1	LMON_RS04615
WP_014600679.1	LMON_RS04620
WP_014600680.1	LMON_RS04625
WP_014600681.1	LMON_RS04630
WP_014600682.1	LMON_RS04635
WP_003721489.1	LMON_RS04640
WP_003721490.1	LMON_RS04645
WP_003721491.1	LMON_RS04650
WP_014600683.1	LMON_RS04655
WP_003734004.1	LMON_RS04660
WP_014930860.1	LMON_RS04665
WP_014600684.1	LMON_RS04670
WP_003722751.1	LMON_RS04675
WP_014600685.1	LMON_RS04680
WP_003722753.1	LMON_RS04685
WP_003732411.1	LMON_RS04690
WP_003722755.1	LMON_RS04695
WP_014600686.1	LMON_RS04705
WP_003722757.1	LMON_RS04710
WP_012951415.1	LMON_RS04715
WP_003722759.1	LMON_RS04720
WP_003732414.1	LMON_RS04725
WP_012951417.1	LMON_RS04730
WP_009926933.1	LMON_RS04735
WP_010989621.1	LMON_RS04740
WP_014930864.1	LMON_RS04745
WP_003719147.1	LMON_RS04750
WP_003722764.1	LMON_RS04755
WP_003722765.1	LMON_RS14755
WP_003729869.1	LMON_RS04760
WP_003722767.1	LMON_RS04765
WP_014930865.1	LMON_RS04770
WP_003732421.1	LMON_RS04775
WP_003722770.1	LMON_RS04780
WP_003722771.1	LMON_RS04785
WP_003722772.1	LMON_RS04790
WP_003722773.1	LMON_RS04795
WP_003722774.1	LMON_RS04800
WP_003722775.1	LMON_RS04805
WP_003722776.1	LMON_RS04810
WP_003722777.1	LMON_RS04815
WP_003722778.1	LMON_RS04820
WP_003722779.1	LMON_RS04825
WP_003722780.1	LMON_RS04830
WP_009931632.1	LMON_RS04835
WP_014600688.1	LMON_RS04840
WP_003722783.1	LMON_RS04845
WP_003722784.1	LMON_RS04850
WP_003722785.1	LMON_RS04855
WP_014600689.1	LMON_RS04860
WP_003722787.1	LMON_RS04865
WP_003722788.1	LMON_RS04870
WP_003729850.1	LMON_RS04875
WP_012951426.1	LMON_RS04880
WP_010989630.1	LMON_RS04885
WP_014600690.1	LMON_RS04890
WP_003722794.1	LMON_RS04895
WP_003732428.1	LMON_RS04900
WP_003732429.1	LMON_RS04905
WP_003722797.1	LMON_RS04910
WP_014600692.1	LMON_RS04915
WP_003722799.1	LMON_RS04920
WP_003722800.1	LMON_RS04925
WP_010989632.1	LMON_RS04930
WP_014600693.1	LMON_RS04935
WP_014600694.1	LMON_RS04940
WP_003732434.1	LMON_RS04945
WP_003722847.1	LMON_RS04950
WP_014600695.1	LMON_RS04955
WP_003722849.1	LMON_RS04960
WP_003722850.1	LMON_RS04965
WP_009926409.1	LMON_RS04970
WP_003732439.1	LMON_RS04975
WP_014600696.1	LMON_RS04980
WP_009913969.1	LMON_RS04985
WP_012951432.1	LMON_RS04990
WP_003722856.1	LMON_RS04995
WP_003732442.1	LMON_RS05000
WP_003733786.1	LMON_RS05005
WP_014600697.1	LMON_RS05010
WP_014600698.1	LMON_RS05015
WP_003722861.1	LMON_RS05020
WP_014600699.1	LMON_RS05025
WP_003732447.1	LMON_RS05030
WP_003722864.1	LMON_RS05035
WP_010989638.1	LMON_RS05040
WP_003722866.1	LMON_RS05045
WP_003719221.1	LMON_RS05050
WP_003722867.1	LMON_RS05055
WP_003722868.1	LMON_RS05060
WP_014600701.1	LMON_RS05065
WP_014600702.1	LMON_RS05070
WP_003726553.1	LMON_RS05075
WP_003719227.1	LMON_RS05080
WP_003722873.1	LMON_RS05085
WP_003722874.1	LMON_RS05090
WP_003722875.1	LMON_RS05095
WP_003722876.1	LMON_RS05100
WP_010989639.1	LMON_RS05105
WP_003722878.1	LMON_RS05110
WP_003722879.1	LMON_RS05115
WP_014930870.1	LMON_RS05120
WP_003726432.1	LMON_RS05125
WP_014600703.1	LMON_RS05130
WP_014600704.1	LMON_RS05135
WP_003734006.1	LMON_RS05140
WP_003722885.1	LMON_RS05145
WP_003722886.1	LMON_RS05150
WP_003719245.1	LMON_RS05155
WP_003732454.1	LMON_RS05160
WP_014600705.1	LMON_RS05165
WP_014930871.1	LMON_RS05170
WP_003722651.1	LMON_RS05175
WP_003722652.1	LMON_RS05180
WP_014930872.1	LMON_RS05185
WP_010989641.1	LMON_RS05190
WP_014600707.1	LMON_RS05195
WP_003722656.1	LMON_RS05200
WP_003732677.1	LMON_RS05205
WP_010989644.1	LMON_RS05210
WP_010989645.1	LMON_RS05215
WP_003722660.1	LMON_RS05220
WP_014600708.1	LMON_RS05225
WP_014600709.1	LMON_RS05230
WP_003722664.1	LMON_RS05235
WP_003722665.1	LMON_RS05240
WP_003732684.1	LMON_RS05245
WP_003722667.1	LMON_RS05250
WP_014930873.1	LMON_RS05255
WP_014600711.1	LMON_RS05260
WP_003730106.1	LMON_RS05265
WP_003722672.1	LMON_RS05270
WP_003722673.1	LMON_RS05275
WP_014600712.1	LMON_RS05280
WP_003722675.1	LMON_RS05285
WP_010989650.1	LMON_RS05290
WP_003722677.1	LMON_RS05295
WP_014930874.1	LMON_RS05300
WP_009931056.1	LMON_RS05305
WP_003722681.1	LMON_RS05310
WP_003722682.1	LMON_RS05315
WP_003732693.1	LMON_RS05320
WP_014600713.1	LMON_RS05325
WP_003722685.1	LMON_RS05330
WP_014600714.1	LMON_RS05335
WP_003722687.1	LMON_RS05340
WP_003734007.1	LMON_RS05345
WP_003722689.1	LMON_RS05350
WP_014600715.1	LMON_RS05355
WP_072215813.1	LMON_RS14760
WP_003722692.1	LMON_RS05360
WP_003722693.1	LMON_RS05365
WP_014600716.1	LMON_RS05370
WP_003722695.1	LMON_RS05375
WP_003732696.1	LMON_RS05380
WP_003732697.1	LMON_RS05385
WP_003725573.1	LMON_RS05390
WP_003732700.1	LMON_RS05395
WP_003722699.1	LMON_RS05400
WP_014600718.1	LMON_RS05405
WP_003722701.1	LMON_RS05410
WP_003722702.1	LMON_RS05415
WP_003732702.1	LMON_RS05420
WP_003721494.1	LMON_RS05425
WP_003721495.1	LMON_RS05430
WP_014600719.1	LMON_RS05435
WP_014600720.1	LMON_RS05440
WP_003721498.1	LMON_RS05445
WP_003721499.1	LMON_RS05450
WP_010989656.1	LMON_RS05455
WP_003721501.1	LMON_RS05460
WP_003733792.1	LMON_RS05465
WP_003721503.1	LMON_RS05470
WP_003721504.1	LMON_RS05475
WP_012951452.1	LMON_RS05480
WP_003721506.1	LMON_RS05485
WP_014600722.1	LMON_RS05490
WP_014930875.1	LMON_RS05495
WP_003721509.1	LMON_RS05500
WP_003727000.1	LMON_RS05505
WP_014600724.1	LMON_RS05510
WP_003732712.1	LMON_RS05515
WP_014600725.1	LMON_RS05520
WP_014600726.1	LMON_RS05525
WP_014600727.1	LMON_RS05530
WP_014600728.1	LMON_RS05535
WP_014600732.1	LMON_RS05555
WP_014600733.1	LMON_RS05560
WP_014600734.1	LMON_RS05565
WP_014600735.1	LMON_RS05570
WP_014600737.1	LMON_RS05575
WP_014600738.1	LMON_RS05580
WP_014600739.1	LMON_RS05585
WP_014600740.1	LMON_RS05590
WP_014600741.1	LMON_RS05595
WP_003721529.1	LMON_RS05600
WP_014600742.1	LMON_RS05605
WP_014600743.1	LMON_RS05610
WP_003721533.1	LMON_RS05615
WP_012951477.1	LMON_RS05620
WP_014600744.1	LMON_RS05625
WP_014600745.1	LMON_RS05630
WP_014600746.1	LMON_RS05635
WP_003721539.1	LMON_RS05640
WP_009933017.1	LMON_RS05645
WP_009912224.1	LMON_RS05650
WP_009912223.1	LMON_RS05655
WP_010989691.1	LMON_RS05660
WP_003719346.1	LMON_RS05665
WP_003721543.1	LMON_RS05670
WP_003721544.1	LMON_RS05675
WP_014600747.1	LMON_RS05680
WP_014600748.1	LMON_RS05685
WP_014600749.1	LMON_RS05690
WP_014600750.1	LMON_RS05695
WP_003721549.1	LMON_RS05700
WP_003719356.1	LMON_RS05705
WP_003732739.1	LMON_RS05710
WP_008947521.1	LMON_RS05715
WP_010989693.1	LMON_RS05720
WP_003732740.1	LMON_RS05725
WP_014600751.1	LMON_RS05730
WP_003732742.1	LMON_RS05735
WP_003721557.1	LMON_RS05740
WP_014600752.1	LMON_RS05745
WP_014600753.1	LMON_RS05750
WP_003721559.1	LMON_RS05755
WP_014600754.1	LMON_RS05760
WP_003736331.1	LMON_RS05765
WP_014600755.1	LMON_RS05770
WP_012951491.1	LMON_RS05775
WP_003732744.1	LMON_RS05780
WP_003721565.1	LMON_RS05785
WP_014600756.1	LMON_RS05790
WP_009926914.1	LMON_RS05795
WP_014600757.1	LMON_RS05800
WP_072215754.1	LMON_RS14770
WP_010989700.1	LMON_RS05805
WP_003724712.1	LMON_RS05810
WP_003721572.1	LMON_RS05815
WP_014600758.1	LMON_RS05820
WP_003721574.1	LMON_RS05825
WP_003732749.1	LMON_RS05830
WP_014600759.1	LMON_RS05835
WP_009915074.1	LMON_RS05840
WP_003721578.1	LMON_RS05845
WP_003719393.1	LMON_RS05850
WP_014600760.1	LMON_RS05855
WP_003721580.1	LMON_RS05860
WP_014930878.1	LMON_RS05865
WP_014600762.1	LMON_RS05870
WP_003721583.1	LMON_RS05875
WP_003721584.1	LMON_RS05880
WP_003721585.1	LMON_RS05885
WP_003721586.1	LMON_RS05890
WP_003732753.1	LMON_RS05895
WP_014600763.1	LMON_RS05900
WP_014600764.1	LMON_RS05905
WP_014600765.1	LMON_RS05910
WP_003721591.1	LMON_RS05915
WP_012951503.1	LMON_RS05920
WP_003721593.1	LMON_RS05925
WP_003721594.1	LMON_RS05930
WP_009924853.1	LMON_RS05935
WP_014600767.1	LMON_RS05940
WP_012951506.1	LMON_RS05945
WP_014600768.1	LMON_RS05950
WP_014600769.1	LMON_RS05955
WP_014600770.1	LMON_RS05960
WP_003732763.1	LMON_RS05965
WP_003733476.1	LMON_RS05970
WP_003721603.1	LMON_RS05975
WP_003721604.1	LMON_RS05980
WP_003721605.1	LMON_RS05985
WP_003721606.1	LMON_RS05990
WP_003721607.1	LMON_RS05995
WP_003721608.1	LMON_RS06000
WP_003721609.1	LMON_RS06005
WP_003721610.1	LMON_RS06010
WP_003724743.1	LMON_RS06015
WP_003721612.1	LMON_RS06020
WP_003732766.1	LMON_RS14775
WP_003734016.1	LMON_RS06025
WP_022741829.1	LMON_RS06030
WP_014600772.1	LMON_RS06035
WP_014600773.1	LMON_RS06040
WP_014600774.1	LMON_RS06045
WP_003721618.1	LMON_RS06050
WP_003736387.1	LMON_RS06055
WP_014600775.1	LMON_RS06060
WP_014600776.1	LMON_RS06065
WP_014930880.1	LMON_RS06070
WP_003721623.1	LMON_RS06075
WP_014600778.1	LMON_RS06080
WP_003732773.1	LMON_RS06085
WP_072215733.1	LMON_RS06090
WP_022741830.1	LMON_RS06095
WP_012951513.1	LMON_RS06100
WP_003723851.1	LMON_RS06105
WP_010989713.1	LMON_RS06110
WP_003723853.1	LMON_RS06115
WP_014600780.1	LMON_RS06120
WP_003732778.1	LMON_RS06125
WP_003733801.1	LMON_RS06130
WP_003723856.1	LMON_RS06135
WP_003732780.1	LMON_RS06140
WP_014600781.1	LMON_RS06145
WP_014600782.1	LMON_RS06150
WP_014930882.1	LMON_RS06160
WP_014930883.1	LMON_RS06165
WP_014930884.1	LMON_RS06170
WP_014930885.1	LMON_RS06175
WP_014930886.1	LMON_RS06180
WP_014930887.1	LMON_RS06185
WP_014930889.1	LMON_RS06190
WP_025283125.1	LMON_RS06200
WP_014930891.1	LMON_RS06205
WP_014930892.1	LMON_RS06210
WP_014930893.1	LMON_RS06215
WP_014930894.1	LMON_RS06220
WP_014930895.1	LMON_RS06225
WP_014930896.1	LMON_RS06230
WP_025283093.1	LMON_RS06235
WP_014930897.1	LMON_RS06240
WP_014930898.1	LMON_RS06245
WP_014930899.1	LMON_RS06250
WP_014930900.1	LMON_RS06255
WP_014930901.1	LMON_RS06260
WP_014930902.1	LMON_RS06265
WP_014930903.1	LMON_RS14590
WP_014930905.1	LMON_RS06275
WP_003743933.1	LMON_RS06280
WP_003743935.1	LMON_RS06285
WP_014930906.1	LMON_RS06290
WP_011702027.1	LMON_RS06295
WP_011702028.1	LMON_RS06300
WP_014930907.1	LMON_RS06305
WP_014930908.1	LMON_RS06310
WP_014930909.1	LMON_RS06315
WP_009928009.1	LMON_RS06320
WP_014929542.1	LMON_RS06325
WP_014930910.1	LMON_RS06330
WP_009928006.1	LMON_RS06335
WP_014930911.1	LMON_RS06340
WP_014930912.1	LMON_RS06345
WP_014930913.1	LMON_RS06350
WP_014930914.1	LMON_RS06355
WP_014930915.1	LMON_RS06360
WP_014930916.1	LMON_RS06365
WP_014930917.1	LMON_RS06370
WP_009929558.1	LMON_RS06375
WP_014930918.1	LMON_RS06380
WP_014930920.1	LMON_RS06385
WP_014930921.1	LMON_RS06390
WP_014930922.1	LMON_RS06395
WP_014930923.1	LMON_RS06400
WP_009928178.1	LMON_RS06405
WP_009928179.1	LMON_RS06410
WP_014930924.1	LMON_RS06415
WP_014930925.1	LMON_RS06420
WP_014930926.1	LMON_RS06425
WP_038406231.1	LMON_RS06430
WP_014930928.1	LMON_RS06435
WP_014930929.1	LMON_RS06440
WP_014930930.1	LMON_RS06445
WP_014930931.1	LMON_RS06450
WP_014930932.1	LMON_RS06455
WP_022741836.1	LMON_RS06460
WP_014600783.1	LMON_RS06465
WP_009924171.1	LMON_RS06470
WP_009914084.1	LMON_RS06475
WP_014600785.1	LMON_RS06480
WP_003723543.1	LMON_RS06485
WP_014600786.1	LMON_RS06490
WP_003723545.1	LMON_RS06495
WP_003723546.1	LMON_RS06500
WP_003723547.1	LMON_RS06505
WP_003723548.1	LMON_RS06510
WP_003732786.1	LMON_RS14780
WP_003723549.1	LMON_RS06515
WP_003723550.1	LMON_RS06520
WP_003723551.1	LMON_RS06525
WP_009931701.1	LMON_RS06535
WP_014600787.1	LMON_RS06540
WP_003723556.1	LMON_RS06545
WP_003723557.1	LMON_RS06550
WP_012951571.1	LMON_RS06555
WP_003723559.1	LMON_RS06560
WP_003723560.1	LMON_RS06565
WP_003723561.1	LMON_RS06570
WP_014600789.1	LMON_RS06575
WP_003723563.1	LMON_RS06580
WP_003727524.1	LMON_RS06585
WP_010989719.1	LMON_RS06590
WP_003732795.1	LMON_RS06595
WP_014600790.1	LMON_RS06600
WP_003723884.1	LMON_RS06605
WP_003723886.1	LMON_RS06610
WP_009924620.1	LMON_RS06615
WP_009924619.1	LMON_RS06620
WP_003723889.1	LMON_RS06625
WP_003723890.1	LMON_RS06630
WP_003723891.1	LMON_RS06635
WP_003723892.1	LMON_RS06640
WP_014600791.1	LMON_RS06645
WP_009924616.1	LMON_RS06650
WP_009911635.1	LMON_RS06655
WP_003724001.1	LMON_RS06660
WP_010989722.1	LMON_RS06665
WP_003726695.1	LMON_RS06670
WP_077346034.1	LMON_RS14785
WP_003724129.1	LMON_RS06675
WP_003724130.1	LMON_RS06680
WP_009932949.1	LMON_RS06685
WP_014600792.1	LMON_RS06690
WP_003732802.1	LMON_RS06695
WP_003723731.1	LMON_RS06700
WP_010989723.1	LMON_RS06705
WP_009913867.1	LMON_RS06710
WP_014600793.1	LMON_RS06715
WP_012951575.1	LMON_RS06720
WP_012951576.1	LMON_RS06725
WP_003723737.1	LMON_RS06730
WP_003723738.1	LMON_RS06735
WP_014600794.1	LMON_RS06740
WP_003719566.1	LMON_RS06745
WP_022741839.1	LMON_RS06750
WP_010989728.1	LMON_RS06755
WP_003719570.1	LMON_RS06760
WP_003723435.1	LMON_RS06765
WP_014600796.1	LMON_RS06770
WP_003723437.1	LMON_RS06775
WP_003723438.1	LMON_RS06780
WP_003723439.1	LMON_RS06785
WP_003723440.1	LMON_RS06790
WP_003732809.1	LMON_RS06795
WP_003723442.1	LMON_RS06800
WP_014600797.1	LMON_RS06805
WP_014600798.1	LMON_RS06810
WP_003723445.1	LMON_RS06815
WP_003723446.1	LMON_RS06820
WP_010989732.1	LMON_RS06825
WP_003723448.1	LMON_RS06830
WP_003723449.1	LMON_RS06835
WP_003723450.1	LMON_RS06840
WP_014600799.1	LMON_RS06845
WP_014600800.1	LMON_RS06850
WP_014600801.1	LMON_RS06855
WP_003723454.1	LMON_RS06860
WP_003732816.1	LMON_RS06865
WP_003732817.1	LMON_RS06870
WP_003732818.1	LMON_RS06875
WP_003722453.1	LMON_RS06880
WP_003722454.1	LMON_RS06885
WP_003729918.1	LMON_RS06890
WP_003732820.1	LMON_RS06895
WP_003722457.1	LMON_RS06900
WP_003719600.1	LMON_RS06905
WP_003722458.1	LMON_RS06910
WP_012951584.1	LMON_RS06915
WP_003719603.1	LMON_RS06920
WP_014600802.1	LMON_RS06925
WP_003732252.1	LMON_RS06930
WP_003734026.1	LMON_RS06935
WP_003740295.1	LMON_RS06940
WP_003719608.1	LMON_RS06945
WP_003722464.1	LMON_RS06950
WP_010990098.1	LMON_RS06955
WP_003722466.1	LMON_RS06960
WP_010990099.1	LMON_RS06965
WP_003732255.1	LMON_RS06970
WP_003729906.1	LMON_RS06975
WP_003722470.1	LMON_RS06980
WP_003732256.1	LMON_RS06985
WP_003732257.1	LMON_RS06990
WP_003732258.1	LMON_RS06995
WP_003722473.1	LMON_RS07000
WP_014600803.1	LMON_RS07005
WP_077906954.1	LMON_RS14790
WP_014600804.1	LMON_RS07010
WP_014600805.1	LMON_RS07015
WP_003722477.1	LMON_RS07020
WP_003722478.1	LMON_RS07025
WP_003732264.1	LMON_RS07030
WP_014600806.1	LMON_RS07035
WP_003722481.1	LMON_RS07040
WP_003722482.1	LMON_RS07045
WP_003722483.1	LMON_RS07050
WP_003722484.1	LMON_RS07055
WP_003722485.1	LMON_RS07060
WP_012581364.1	LMON_RS07065
WP_003726249.1	LMON_RS07070
WP_010990104.1	LMON_RS07075
WP_003722489.1	LMON_RS07080
WP_014600808.1	LMON_RS07085
WP_003719639.1	LMON_RS07090
WP_003733809.1	LMON_RS07095
WP_014600809.1	LMON_RS07100
WP_003722493.1	LMON_RS07105
WP_014600810.1	LMON_RS07110
WP_003732271.1	LMON_RS07115
WP_003722496.1	LMON_RS07120
WP_014600811.1	LMON_RS07125
WP_003722498.1	LMON_RS07130
WP_003722499.1	LMON_RS07135
WP_014600812.1	LMON_RS07140
WP_010990107.1	LMON_RS07145
WP_003722503.1	LMON_RS07150
WP_003719652.1	LMON_RS07155
WP_003727467.1	LMON_RS07160
WP_003722505.1	LMON_RS07165
WP_003722506.1	LMON_RS07170
WP_003722507.1	LMON_RS07175
WP_003722508.1	LMON_RS07180
WP_003722509.1	LMON_RS07185
WP_014600814.1	LMON_RS07190
WP_003727465.1	LMON_RS07195
WP_010990110.1	LMON_RS07200
WP_003722513.1	LMON_RS07205
WP_003722514.1	LMON_RS07210
WP_003732280.1	LMON_RS07215
WP_003723915.1	LMON_RS07220
WP_003723916.1	LMON_RS07225
WP_010990111.1	LMON_RS07230
WP_014600815.1	LMON_RS07235
WP_003723919.1	LMON_RS07240
WP_003732284.1	LMON_RS07245
WP_003723921.1	LMON_RS07250
WP_003732285.1	LMON_RS07255
WP_003732286.1	LMON_RS07260
WP_003721904.1	LMON_RS07265
WP_010990112.1	LMON_RS07270
WP_003732288.1	LMON_RS07275
WP_003744056.1	LMON_RS07280
WP_014600816.1	LMON_RS07285
WP_014600817.1	LMON_RS07290
WP_003721910.1	LMON_RS07295
WP_014600818.1	LMON_RS07300
WP_003721912.1	LMON_RS07305
WP_014600819.1	LMON_RS07310
WP_010990115.1	LMON_RS07315
WP_003732294.1	LMON_RS07320
WP_003721916.1	LMON_RS07325
WP_014600820.1	LMON_RS07330
WP_014600821.1	LMON_RS07335
WP_003732324.1	LMON_RS07340
WP_014600822.1	LMON_RS07345
WP_003721921.1	LMON_RS07350
WP_014600823.1	LMON_RS07355
WP_014600824.1	LMON_RS07360
WP_003727446.1	LMON_RS07365
WP_010990117.1	LMON_RS07370
WP_009926601.1	LMON_RS07375
WP_010990118.1	LMON_RS07380
WP_010990119.1	LMON_RS07385
WP_003721929.1	LMON_RS07390
WP_003721930.1	LMON_RS07395
WP_003721931.1	LMON_RS07400
WP_003721932.1	LMON_RS07405
WP_003721933.1	LMON_RS07410
WP_003732329.1	LMON_RS07415
WP_014600825.1	LMON_RS07420
WP_014600826.1	LMON_RS07425
WP_003721937.1	LMON_RS07430
WP_014600827.1	LMON_RS07435
WP_003721939.1	LMON_RS07440
WP_003721940.1	LMON_RS07445
WP_003721941.1	LMON_RS07450
WP_014600828.1	LMON_RS07455
WP_014600829.1	LMON_RS07460
WP_003732335.1	LMON_RS07465
WP_003721945.1	LMON_RS07470
WP_014930941.1	LMON_RS07475
WP_014600831.1	LMON_RS07480
WP_003721948.1	LMON_RS07485
WP_003721949.1	LMON_RS07490
WP_003721950.1	LMON_RS07495
WP_009933330.1	LMON_RS07500
WP_010990125.1	LMON_RS07505
WP_014600832.1	LMON_RS07510
WP_014600833.1	LMON_RS07515
WP_003721956.1	LMON_RS07520
WP_014600834.1	LMON_RS07525
WP_003732339.1	LMON_RS07530
WP_014930942.1	LMON_RS07535
WP_003721960.1	LMON_RS07540
WP_003721961.1	LMON_RS07545
WP_003732341.1	LMON_RS07550
WP_003721963.1	LMON_RS07555
WP_003732342.1	LMON_RS07560
WP_003721965.1	LMON_RS07565
WP_003730435.1	LMON_RS07570
WP_014930943.1	LMON_RS07575
WP_003721968.1	LMON_RS07580
WP_003721969.1	LMON_RS07585
WP_003721970.1	LMON_RS07590
WP_003721971.1	LMON_RS07595
WP_003721972.1	LMON_RS07600
WP_003721973.1	LMON_RS07605
WP_003736634.1	LMON_RS07610
WP_003719762.1	LMON_RS07615
WP_003721977.1	LMON_RS07620
WP_010990133.1	LMON_RS07625
WP_010990134.1	LMON_RS07630
WP_003721980.1	LMON_RS07635
WP_003721982.1	LMON_RS07640
WP_014930944.1	LMON_RS07645
WP_014600836.1	LMON_RS07650
WP_014600837.1	LMON_RS07655
WP_014600838.1	LMON_RS07660
WP_003721987.1	LMON_RS07665
WP_003726526.1	LMON_RS07670
WP_003721989.1	LMON_RS07675
WP_003721990.1	LMON_RS07680
WP_003721991.1	LMON_RS07685
WP_012951631.1	LMON_RS07690
WP_003721993.1	LMON_RS07695
WP_003721994.1	LMON_RS07700
WP_003721995.1	LMON_RS07705
WP_014600839.1	LMON_RS07710
WP_003721997.1	LMON_RS07715
WP_014600840.1	LMON_RS07720
WP_010990141.1	LMON_RS07725
WP_003722000.1	LMON_RS07730
WP_014600841.1	LMON_RS07735
WP_014600842.1	LMON_RS07740
WP_014600843.1	LMON_RS07745
WP_003722004.1	LMON_RS07750
WP_012951636.1	LMON_RS14795
WP_003732602.1	LMON_RS07755
WP_014600844.1	LMON_RS07760
WP_003722008.1	LMON_RS07765
WP_014930948.1	LMON_RS07770
WP_003722010.1	LMON_RS07775
WP_003730148.1	LMON_RS07780
WP_003719797.1	LMON_RS07785
WP_014600845.1	LMON_RS07790
WP_003723691.1	LMON_RS07795
WP_014600846.1	LMON_RS07800
WP_014930949.1	LMON_RS07805
WP_010990146.1	LMON_RS07810
WP_014600848.1	LMON_RS07815
WP_077906957.1	LMON_RS07820
WP_014930951.1	LMON_RS07825
WP_014600849.1	LMON_RS07830
WP_014600850.1	LMON_RS07835
WP_014600851.1	LMON_RS07840
